Section,Image Type,Current Source,Description,Status,Local Path,Recommendation,Notes
Navigation,Rex Logo,Google Drive,Small Rex icon for nav bar,Using Current,images/rex/,Keep existing Google Drive link,Works great - visible and recognizable
Hero,Rex Character,Google Drive,Main hero Rex waving/presenting,Using Current,images/rex/,Keep existing or use local,Central mascot image - high priority
Hero,Trade Badges,Emoji,HVAC/Plumbing/Electrical icons,Using Emoji,N/A,Consider custom icons,Could use trade logo images instead
Problem Section,Icons,Emoji,Problem illustration icons,Using Emoji,N/A,Optional enhancement,Works fine as-is
AI Tools,Rex Thinking,Google Drive,Rex in thinking pose for diagnostics,Using Current,images/rex/Confused.png,Use local version,Show Rex analyzing/processing
AI Tools,Rex Success,Google Drive,Rex with thumbs up for success,Using Current,images/rex/Approved.png,Use local version,Celebration/achievement pose
AI Tools,Rex Presenting,Google Drive,Rex showing/presenting information,Using Current,images/rex/ONEREQ PRO Consult.png,Use local version,Educational/tutorial scenarios
AI Tools,Rex Consulting,Placeholder,Rex in consultant role,NEEDED,images/rex/ONEREQ PRO Consult.png,Use existing local,For AI assistant interactions
Features,Mobile App Screenshot,Placeholder,Mobile app interface screenshot,NEEDED,images/placeholder/,Create screenshot,Show actual app UI
Features,Dashboard Screenshot,Placeholder,Analytics dashboard view,NEEDED,images/placeholder/,Create screenshot,Performance metrics display
Features,PDF Sample,Placeholder,Sample PDF output,NEEDED,images/placeholder/,Create sample,Professional requisition form
Surveys,HVAC Survey Screenshot,Placeholder,Home Comfort Survey interface,NEEDED,images/placeholder/,Create screenshot,Show survey in action
Surveys,IAQ Presentation,Available,IAQ sales presentation slides,Available,images/features/IAQ Sales Presentation.png,Use local,Educational sales tool
Surveys,Safety Check,Available,Safety checklist interface,Available,images/features/Safety Check.png,Use local,Inspection workflow
Team Management,Commission Dashboard,Placeholder,Commission tracker interface,NEEDED,images/placeholder/,Create screenshot,Show earnings transparency
Team Management,Contest Leaderboard,Placeholder,Live contest standings,NEEDED,images/placeholder/,Create screenshot,Gamification visual
Team Management,Performance Board,Placeholder,Team performance metrics,NEEDED,images/placeholder/,Create screenshot,Analytics and rankings
Trades - HVAC,One Hour HVAC Logo,Available,Official trade partner logo,Available,images/trades/,Use existing local,Brand partnership logo
Trades - HVAC,HVAC Icon,Available,Heating/cooling symbol,Available,images/features/HVAC Icon.png,Use local,Section identifier
